"","X","Average.Page.Views","Q2.2015","Q3.2015","Q4.2015","Q1.2016","Q2.2016"
"1",NA,"Android",8.47,8.56,8.63,8.8,7.29
"2",NA,"Chrome OS",11.04,11.52,11.32,10.93,9.62
"3",NA,"Linux",5.42,5.42,5.53,4.97,5.13
"4",NA,"Macintosh",11.89,11.97,11.3,10.84,9.53
"5",NA,"Windows",10.29,10.49,10.98,10.52,9.26
"6",NA,"Windows Phone",7.15,7.32,7.44,7.37,6.18
"7",NA,"iOS",8.35,8.6,8.26,8.42,7.25
